DATE_TIME,USERS,CPU,MEM,DISK,PROCESS
06/25/2020 12:30,36,6.11,0.071512,205556408,1729
06/25/2020 12:45,38,6.11,0.0715208,205558602,1731
06/25/2020 13:00,40,6.11,0.0717127,205561952,1744
06/25/2020 13:15,39,6.11,0.0722311,205565817,1746
06/25/2020 13:30,34,6.11,0.0720481,205571138,1734
06/25/2020 13:45,33,6.11,0.0719379,205571724,1721
06/25/2020 14:00,33,6.11,0.0725151,205574193,1723
06/25/2020 14:15,33,6.11,0.0721224,205576020,1714
06/25/2020 14:30,34,6.11,0.0722715,205574610,1723
06/25/2020 14:45,35,6.11,0.0748306,205575469,1735
06/25/2020 15:00,33,6.11,0.0756684,205576297,1731
06/25/2020 15:15,38,6.11,0.076128,205577322,1749
06/25/2020 15:30,39,6.11,0.0763104,205577619,1760
06/25/2020 15:45,41,6.11,0.0765507,205578238,1768
06/25/2020 16:00,42,6.11,0.0765969,205588456,1772
06/25/2020 16:15,42,6.11,0.0764821,205591771,1764
06/25/2020 16:30,42,6.11,0.0765924,205593076,1772
06/25/2020 16:45,43,6.11,0.0765905,205595942,1764
06/25/2020 17:00,42,6.10,0.0758849,205600309,1750
06/25/2020 17:15,42,6.10,0.0759015,205599063,1751
06/25/2020 17:30,40,6.10,0.0758316,205601256,1745
06/25/2020 17:45,40,6.10,0.075792,205602308,1747
06/25/2020 18:00,39,6.10,0.0758121,205603692,1738
06/25/2020 18:15,38,6.10,0.0757184,205632184,1734
06/25/2020 18:30,38,6.10,0.0758583,205637379,1740
06/25/2020 18:45,37,6.10,0.0757955,205639547,1734
06/25/2020 19:00,38,6.10,0.0757641,205640594,1733
06/25/2020 19:15,36,6.10,0.0757001,205641696,1723
06/25/2020 19:30,35,6.10,0.0771959,205643968,1720
06/25/2020 19:45,35,6.10,0.0764508,205644921,1713
06/25/2020 20:00,35,6.10,0.0765139,205646897,1716
06/25/2020 20:15,34,6.10,0.076365,205648338,1713
06/25/2020 20:30,34,6.10,0.076395,205651547,1711
06/25/2020 20:45,32,6.10,0.0756812,205650704,1710
06/25/2020 21:00,32,6.10,0.0756604,205652813,1707
06/25/2020 21:15,31,6.10,0.075567,205656141,1700
06/25/2020 21:30,30,6.09,0.0756038,205644508,1699
06/25/2020 21:45,27,6.09,0.075313,205645043,1690
06/25/2020 22:00,26,6.09,0.0752543,205654926,1685
06/25/2020 22:15,24,6.09,0.0753312,205519387,1678
06/25/2020 22:30,23,6.09,0.0737095,205551178,1668
06/25/2020 22:45,22,6.09,0.0736793,205574053,1669
06/25/2020 23:00,21,6.09,0.0719359,205582438,1658
06/25/2020 23:15,23,6.09,0.0738526,205607057,1676
06/25/2020 23:30,22,6.09,0.0739117,205632206,1671
06/25/2020 23:45,22,6.09,0.073917,205655497,1670
06/26/2020 00:00,21,6.09,0.0738925,205658473,1665
06/26/2020 00:15,20,6.09,0.0739575,205659414,1665
06/26/2020 00:30,20,6.09,0.0739773,205663092,1663
06/26/2020 00:45,20,6.09,0.0739153,205638819,1664
06/26/2020 01:00,20,6.09,0.0726012,205616043,1653
06/26/2020 01:15,21,6.09,0.072666,205577132,1657
06/26/2020 01:30,21,6.09,0.0726251,205599694,1655
06/26/2020 01:45,20,6.08,0.0725708,205626156,1649
06/26/2020 02:00,20,6.08,0.0725852,205641254,1649
06/26/2020 02:15,20,6.08,0.0725881,205650338,1647
06/26/2020 02:30,19,6.08,0.0705115,205691260,1643
06/26/2020 02:45,18,6.08,0.0704095,205690603,1633
06/26/2020 03:00,18,6.08,0.0703965,205692989,1632
06/26/2020 03:15,18,6.08,0.0703899,205691578,1633
06/26/2020 03:30,18,6.08,0.0703801,205692391,1632
06/26/2020 03:45,18,6.08,0.0703722,205692946,1632
06/26/2020 04:00,18,6.08,0.0703779,205693283,1633
06/26/2020 04:15,18,6.08,0.0703949,205693190,1635
06/26/2020 04:30,17,6.08,0.070344,205693645,1629
06/26/2020 04:45,16,6.08,0.0702983,205694491,1625
06/26/2020 05:00,16,6.08,0.0703166,205694637,1625
06/26/2020 05:15,16,6.08,0.0703062,205694754,1626
06/26/2020 05:30,16,6.08,0.0709924,205695196,1633
06/26/2020 05:45,16,6.08,0.0697674,205695802,1628
06/26/2020 06:00,16,6.08,0.0697604,205696046,1628
06/26/2020 06:15,15,6.07,0.0695943,205696091,1625
06/26/2020 06:30,17,6.07,0.0696932,205696308,1632
06/26/2020 06:45,16,6.07,0.0698067,205696735,1628
06/26/2020 07:00,16,6.07,0.0699321,205696902,1627
06/26/2020 07:15,17,6.07,0.0700087,205697295,1632
06/26/2020 07:30,18,6.07,0.0700569,205697561,1636
06/26/2020 07:45,18,6.07,0.0722381,205697967,1656
06/26/2020 08:00,18,6.07,0.0722185,205698324,1648
06/26/2020 08:15,19,6.07,0.07229,205697283,1655
06/26/2020 08:30,19,6.07,0.0724232,205699287,1658
06/26/2020 08:45,19,6.07,0.0724509,205698229,1653
06/26/2020 09:00,19,6.07,0.0723832,205699061,1653
06/26/2020 09:15,20,6.07,0.0723739,205692008,1657
06/26/2020 09:30,21,6.07,0.0724212,205695978,1672
06/26/2020 09:45,21,6.07,0.0725206,205699105,1676
06/26/2020 10:00,23,6.07,0.0726997,205725864,1686
06/26/2020 10:15,25,6.07,0.0727906,205852127,1696
06/26/2020 10:30,28,6.07,0.0731553,205928577,1715
06/26/2020 10:45,32,6.06,0.0733055,205928601,1729
06/26/2020 11:00,35,6.06,0.073625,205931810,1751
06/26/2020 11:15,33,6.06,0.0735252,205933182,1743
06/26/2020 11:30,33,6.06,0.0734847,205934893,1739
06/26/2020 11:45,34,6.06,0.0735139,205936778,1744
06/26/2020 12:00,32,6.06,0.075159,205943226,1755
06/26/2020 12:15,32,6.06,0.0743885,205950387,1739
06/26/2020 12:30,32,6.06,0.074285,205950554,1724
06/26/2020 12:45,30,6.06,0.0762771,205955076,1733
06/26/2020 13:00,31,6.06,0.0762247,205956143,1747
06/26/2020 13:15,33,6.06,0.0745909,205957989,1739
06/26/2020 13:30,34,6.06,0.0758655,205959029,1756
06/26/2020 13:45,34,6.06,0.0748936,205963540,1733
06/26/2020 14:00,32,6.06,0.074898,205966043,1727
06/26/2020 14:15,31,6.06,0.0748731,205964875,1724
06/26/2020 14:30,30,6.06,0.0748856,205966561,1725
06/26/2020 14:45,31,6.06,0.0736133,205967397,1722
06/26/2020 15:00,33,6.06,0.0761408,205973043,1758
06/26/2020 15:15,34,6.05,0.0752678,205975370,1743
